ano_tri,inf,int
1994-4.0,0.05681958014499999,21.57273650793651
1995-1.0,0.04381354084000022,0.548932786885246
1995-2.0,0.05400181039999996,0.6189704918032795
1995-3.0,0.03558895999999989,0.5330046874999997
1995-4.0,0.018372792592999954,0.4826983870967743
1996-1.0,0.027892439288000004,0.3099950000000001
1996-2.0,0.03640939471999993,0.27762539682539683
1996-3.0,0.012214170000000024,0.25685156249999996
1996-4.0,0.013850214207999922,0.25710923076923087
1997-1.0,0.03189912977600007,0.23892741935483885
1997-2.0,0.0159801238999997,0.2344822580645162
1997-3.0,0.006402587875999899,0.21255
1997-4.0,0.018709144717999893,0.3150359375
1998-1.0,0.011322464047999858,0.31051833333333323
1998-2.0,0.003799801628000088,0.25441428571428576
1998-3.0,-0.0038000000000000256,0.27679692307692316
1998-4.0,0.007679965292000102,0.3381196721311476
1999-1.0,0.07732752988000002,0.3334160714285715
1999-2.0,0.007067349596000083,0.27074375000000006
1999-3.0,0.04578081908499976,0.22554328358208944
1999-4.0,0.057527711491,0.2247190476190476
2000-1.0,0.01394119488400003,0.18464354838709682
2000-2.0,0.01738319100300001,0.1799629032258065
2000-3.0,0.04839567810799994,0.16989047619047626
2000-4.0,0.015272299668000144,0.16925396825396835
2001-1.0,0.01638319328000004,0.16091864406779663
2001-2.0,0.03057966591200012,0.17059374999999988
2001-3.0,0.0292421140400001,0.18255781249999983
2001-4.0,0.024050178360000007,0.1841269841269839
2002-1.0,0.004807493762000181,0.18821147540983607
2002-2.0,0.035893991980000095,0.18604461538461547
2002-3.0,0.07216081231999993,0.1823171875000001
2002-4.0,0.1327385232799998,0.20768730158730164
2003-1.0,0.055174917498000076,0.2476523809523807
2003-2.0,0.0040999999999999925,0.2513366666666665
2003-3.0,0.014731569800000122,0.23243906249999974
2003-4.0,0.015276446719999948,0.20251818181818174
2004-1.0,0.028362043520000046,0.16234262295081966
2004-2.0,0.03950675590999997,0.15948906249999992
2004-3.0,0.029567656832000244,0.16052424242424246
2004-4.0,0.01881388599200018,0.16785081967213122
2005-1.0,0.017285600679999957,0.18805573770491804
2005-2.0,0.0051000000000001044,0.19421269841269848
2005-3.0,-0.0040000000000000036,0.19475156250000009
2005-4.0,0.0103275245529999,0.18819047619047616
2006-1.0,0.007200000000000095,0.16518852459016384
2006-2.0,0.010727565092000013,0.15470161290322562
2006-3.0,0.008220906728000132,0.14872968749999996
2006-4.0,0.016482170042000144,0.1429177419354839
2007-1.0,0.008824431757999962,0.12597288135593204
2007-2.0,0.005610045824000043,0.12183999999999984
2007-3.0,0.029557951731000287,0.11664603174603162
2007-4.0,0.033044507624999886,0.11501746031746021
2008-1.0,0.020833783340000078,0.11633015873015867
2008-2.0,0.04968153958400001,0.12007333333333323
2008-3.0,0.011200000000000099,0.12683846153846146
2008-4.0,0.011607629999999869,0.13139696969696962
2009-1.0,9.999999999998899e-05,0.114245
2009-2.0,0.002200720000000045,0.10269365079365084
2009-3.0,-0.0030195244000000843,0.09290303030303018
2009-4.0,0.0002997199999998923,0.09192459016393432
2010-1.0,0.02754308356699986,0.09130175438596493
2010-2.0,0.02649128433600012,0.09537812499999991
2010-3.0,0.024369666199999696,0.10240149253731344
2010-4.0,0.030162538411999895,0.1028920634920635
2011-1.0,0.02571299388800008,0.11420322580645155
2011-2.0,0.005100499999999952,0.11844838709677412
2011-3.0,0.0131389271250002,0.11983281249999995
2011-4.0,0.008317200000000025,0.11429206349206333
2012-1.0,0.009322831759999817,0.096767213114754
2012-2.0,0.02642663045800009,0.08704769230769223
2012-3.0,0.037345085504000064,0.08073225806451603
2012-4.0,0.005988238849999883,0.07710634920634914
2013-1.0,0.00822202922000037,0.07506065573770491
2013-2.0,0.010217825408000092,0.07820461538461529
2013-3.0,0.01968812758399996,0.08345624999999991
2013-4.0,0.01608055171599987,0.09085238095238087
2014-1.0,0.027519503199999962,0.10586507936507925
2014-2.0,0.0044999999999999485,0.10887499999999989
2014-3.0,-0.00470428066000006,0.1086921874999999
2014-4.0,0.021233255588000155,0.11085606060606049
2015-1.0,0.024281139671000096,0.12675423728813548
2015-2.0,0.02012681024000007,0.1319112903225805
2015-3.0,0.024162689439999996,0.13748484848484835
2015-4.0,0.03424016153599996,0.13856349206349192
2016-1.0,0.02772114974099993,0.14124999999999988
2016-2.0,0.03148421308400007,0.14130468749999986
2016-3.0,0.0006833449690000215,0.14114843749999986
2016-4.0,0.010115595395000065,0.1394365079365078
2017-1.0,0.00490257999999999,0.11801639344262282
2017-2.0,-0.012399999999999967,0.10557258064516116
2017-3.0,0.005589035359999883,0.09478124999999987
2017-4.0,0.01647465920000002,0.0854516129032257
2018-1.0,0.012949628720000161,0.06628813559322029
2018-2.0,0.04103513729600006,0.06438461538461532
2018-3.0,0.029330935567999816,0.06442968749999994
2018-4.0,0.0025999999999999357,0.06428225806451608
2019-1.0,0.02405008362499972,0.06246774193548381
2019-2.0,0.01941812679999977,0.06198387096774187
2019-3.0,-9.999999999998899e-05,0.059859374999999944
2019-4.0,0.031691163450000115,0.053461538461538415
